AIRPORT,DISPLAY_AIRPORT_NAME,AIRPORT_STATE_CODE,AIRPORT_STATE_FIPS,CITY_MARKET_ID,DISPLAY_CITY_MARKET_NAME_FULL,CITY_MARKET_WAC,LATITUDE,LONGITUDE,AIRPORT_START_DATE
AL1,Albertville Regional-Thomas J Brumlik Field,AL,1,30253,"Albertville, AL",51,34.22916667,-86.25583333,1/1/03
AL2,Shelby County,AL,1,30254,"Alabaster, AL",51,33.17777778,-86.78333333,7/1/11
AL3,Huntsville Executive Airport Tom Sharp Jr,AL,1,30255,"Huntsville, AL",51,34.85944444,-86.5575,12/1/17
ALX,Thomas C. Russell Field,AL,1,30276,"Alexander City, AL",51,32.91472222,-85.96305556,7/1/11
ANB,Anniston Regional,AL,1,30298,"Anniston, AL",51,33.58805556,-85.85805556,12/1/17
ASN,Talladega Municipal,AL,1,30380,"Talladega, AL",51,33.56944444,-86.05111111,7/1/11
AUO,Auburn University Regional,AL,1,30419,"Auburn, AL",51,32.615,-85.43388889,7/1/11
BFM,Mobile Downtown,AL,1,30562,"Mobile, AL",51,30.62666667,-88.06805556,7/1/11
BHM,Birmingham-Shuttlesworth International,AL,1,30599,"Birmingham, AL",51,33.56388889,-86.75222222,7/1/11
DCU,Pryor Field Regional,AL,1,31282,"Decatur, AL",51,34.65416667,-86.94527778,7/1/11
DHN,Dothan Regional,AL,1,31308,"Dothan, AL",51,31.32111111,-85.44944444,7/1/11
EKY,Bessemer Airport,AL,1,31527,"Bessemer, AL",51,33.3125,-86.92638889,7/1/11
ETS,Enterprise Municipal,AL,1,31598,"Enterprise, AL",51,31.29972222,-85.89972222,7/1/11
EUF,Weedon Field,AL,1,31602,"Eufaula, AL",51,31.95138889,-85.12888889,7/1/11
GAD,Northeast Alabama Regional,AL,1,31840,"Gadsden, AL",51,33.97277778,-86.08916667,7/1/11
HAB,Marion County,AL,1,32058,"Hamilton, AL",51,34.12916667,-87.99444444,3/1/79
HSV,Huntsville International-Carl T Jones Field,AL,1,30255,"Huntsville, AL",51,34.63722222,-86.775,7/1/11
HUA,Redstone AAF,AL,1,30255,"Huntsville, AL",51,34.67861111,-86.68472222,1/1/50
IRV,Roy E. Ray,AL,1,32379,"Bayou La Batre, AL",51,30.45527778,-88.21111111,12/1/17
JZW,Evergreen Regional Middleton Field,AL,1,32601,"Evergreen, AL",51,31.415,-87.04333333,12/1/17
LNT,Lanett Municipal,AL,1,33033,"Lanett, AL",51,32.81194444,-85.22972222,12/1/17
MGM,Montgomery Regional,AL,1,33277,"Montgomery, AL",51,32.30055556,-86.39388889,7/1/11
MOB,Mobile Regional,AL,1,30562,"Mobile, AL",51,30.69138889,-88.24277778,7/1/11
MSL,Northwest Alabama Regional,AL,1,33484,"Muscle Shoals, AL",51,34.74527778,-87.61027778,1/1/50
MXF,Maxwell AFB,AL,1,33277,"Montgomery, AL",51,32.38305556,-86.36583333,7/1/11
OZR,Cairns AAF,AL,1,33999,"Ozark, AL",51,31.27583333,-85.71333333,7/1/11
SEM,Craig Field,AL,1,34753,"Selma, AL",51,32.34388889,-86.98777778,3/1/92
SES,Selfield,AL,1,34753,"Selma, AL",51,32.45,-86.95,3/1/92
TCL,Tuscaloosa Regional,AL,1,35153,"Tuscaloosa, AL",51,33.22055556,-87.61138889,7/1/11
TGE,Sharpe Field,AL,1,35185,"Tuskegee, AL",51,32.49194444,-85.77555556,7/1/11
VWA,Headland Municipal,AL,1,35646,"Headland, AL",51,31.36416667,-85.3125,12/1/17
XWU,Perry County,AL,1,35954,"Marion, AL",51,32.55833333,-87.30972222,3/1/91
GUF,Jack Edwards,AL,1,36422,"Gulf Shores, AL",51,30.28972222,-87.67166667,7/1/11
AL4,South Alabama Regional at Bill Benton Field,AL,1,36423,"Andalusia/Opp, AL",51,31.30833333,-86.39222222,7/1/11
AL5,Demopolis Regional,AL,1,36453,"Demopolis, AL",51,32.46388889,-87.95416667,12/1/17
AL6,H. L. Sonny Callahan,AL,1,36487,"Fairhope, AL",51,30.46055556,-87.87694444,4/1/11
MVC,Monroe County Aeroplex,AL,1,36517,"Monroeville, AL",51,31.45805556,-87.35111111,12/1/17
TOI,Troy Municipal at N Kenneth Campbell Field,AL,1,36523,"Troy, AL",51,31.86,-86.01388889,12/1/17
AL7,Walker County Bevill Field,AL,1,36652,"Jasper, AL",51,33.90194444,-87.31388889,1/1/15
AL8,Scottsboro Municipal Word Field,AL,1,36716,"Scottsboro, AL",51,34.68861111,-86.00583333,12/1/17
AL9,Merkel Field Sylacauga Municipal,AL,1,36763,"Sylacauga, AL",51,33.17194444,-86.30555556,10/1/17
01A,Afognak Lake Airport,AK,2,30001,"Afognak Lake, AK",1,58.10944444,-152.9066667,7/1/07
03A,Bear Creek Mining Strip,AK,2,30003,"Granite Mountain, AK",1,65.54805556,-161.0716667,7/1/07
04A,Lik Mining Camp,AK,2,30004,"Lik, AK",1,68.08333333,-163.1666667,7/1/07
05A,Little Squaw Airport,AK,2,30005,"Little Squaw, AK",1,67.57,-148.1838889,8/1/07
06A,Kizhuyak Bay,AK,2,30006,"Kizhuyak, AK",1,57.74527778,-152.8827778,10/1/07
07A,Klawock Seaplane Base,AK,2,30007,"Klawock, AK",1,55.55472222,-133.1016667,4/1/08
08A,Elizabeth Island Airport,AK,2,30008,"Elizabeth Island, AK",1,59.15694444,-151.8291667,6/1/08
09A,Augustin Island,AK,2,30009,"Homer, AK",1,59.36277778,-153.4305556,6/1/08
A01,Blair Lake,AK,2,31517,"Fairbanks, AK",1,64.36361111,-147.3638889,7/1/11
A02,Deadmans Bay Airport,AK,2,30015,"Deadmans Bay, AK",1,57.06666667,-153.9377778,6/1/02
A03,Hallo Bay Airport,AK,2,30016,"Hallo Bay, AK",1,58.4575,-154.0233333,4/1/02
A04,Red Lake Airport,AK,2,30017,"Red Lake, AK",1,57.27722222,-154.3422222,9/1/02
A05,Shell Lake Airport,AK,2,30018,"Shell Lake, AK",1,61.96388889,-151.5558333,11/1/02
A06,Navigator Airstrip,AK,2,30019,"Kougarok, AK",1,65.65555556,-165.3563889,6/1/02
A07,Roland Norton Memorial,AK,2,30020,"Selawik, AK",1,66.76611111,-160.1527778,7/1/11
A08,Pillar Bay Airport,AK,2,30021,"Pillar Bay, AK",1,56.59805556,-134.2427778,1/1/50
A09,Johnstone Point Airport,AK,2,30022,"Johnstone Point, AK",1,60.48166667,-146.5841667,12/1/17
KTH,Tikchik Lodge Airport,AK,2,30023,"Tikchik Lodge, AK",1,59.95555556,-158.4805556,12/1/02
A11,Bell Creek Airport,AK,2,30024,"Bell Creek, AK",1,60.78388889,-159.5402778,12/1/02
A12,Cinnabar Airport,AK,2,30025,"Cinnabar, AK",1,60.78527778,-158.8644444,12/1/02
A13,Mountaintop Mine Airport,AK,2,30026,"Mountaintop Mine, AK",1,61.39027778,-157.9955556,12/1/02
A14,Whitebear Airport,AK,2,30027,"Whitebear, AK",1,61.18888889,-159.8583333,12/1/02
A16,Arley Lake Airport,AK,2,30029,"Arley Lake, AK",1,70.74694444,-155.3608333,3/1/03
